SentenceFrame	Condition	Plausibility	TargetCloze	Sentence
frame8	unrelated	1.3	92	The gambler kept losing, so he doesn't have any candle left.
frame9	target_word	4.6	100	Harry intends to propose to Emily and give her the ring tomorrow.
frame9	surface_related	1.6	100	Harry intends to propose to Emily and give her the wing tomorrow.
frame9	semantically_related	1.9	100	Harry intends to propose to Emily and give her the finger tomorrow.
frame9	unrelated	2.5	100	Harry intends to propose to Emily and give her the memo tomorrow.
frame10	target_word	4.6	100	John nervously asked the attractive girl out on a date yesterday.
frame10	surface_related	1.7	100	John nervously asked the attractive girl out on a gate yesterday.
frame10	semantically_related	1.2	100	John nervously asked the attractive girl out on a cancel yesterday.
frame10	unrelated	1.5	100	John nervously asked the attractive girl out on a pin yesterday.
frame11	target_word	4	89	As a lifetime vegetarian, Olivia doesn't miss eating meat now.
frame11	surface_related	1.7	89	As a lifetime vegetarian, Olivia doesn't miss eating mean now.
frame11	semantically_related	1.5	89	As a lifetime vegetarian, Olivia doesn't miss eating flour now.
frame11	unrelated	1.7	89	As a lifetime vegetarian, Olivia doesn't miss eating soil now.
frame12	target_word	3.9	92	Dylan got lost today, so he will use a map tomorrow.
frame12	surface_related	1.6	92	Dylan got lost today, so he will use a cap tomorrow.
frame12	semantically_related	2	92	Dylan got lost today, so he will use a globe tomorrow.
frame12	unrelated	1.5	92	Dylan got lost today, so he will use a job tomorrow.
frame13	target_word	4.6	98	The comedian was funny, despite a bad joke yesterday.
frame13	surface_related	1.7	98	The comedian was funny, despite a bad coke yesterday.
frame13	semantically_related	1.4	98	The comedian was funny, despite a bad laugh yesterday.
frame13	unrelated	1.5	98	The comedian was funny, despite a bad beef yesterday.
frame14	target_word	4.5	87	Jacob found he misspelled the word earlier.
frame14	surface_related	2	87	Jacob found he misspelled the lord earlier.
frame14	semantically_related	1.9	87	Jacob found he misspelled the usage earlier.
frame14	unrelated	2.1	87	Jacob found he misspelled the oven earlier.
frame15	target_word	4.6	89	Oscar opened the postbox, and found a letter there.
frame15	surface_related	2.2	89	Oscar opened the postbox, and found a litter there.
frame15	semantically_related	1.8	89	Oscar opened the postbox, and found a heading there.
frame15	unrelated	1.4	89	Oscar opened the postbox, and found a birth there.
frame16	target_word	4.6	89	After struggling with the question, Jessica got the answer finally.
frame16	surface_related	1.5	89	After struggling with the question, Jessica got the dancer finally.
frame16	semantically_related	2.1	89	After struggling with the question, Jessica got the inquiry finally.
frame16	unrelated	2.3	89	After struggling with the question, Jessica got the pension finally.
frame17	target_word	4.6	87	At the airport, James checked in for his flight earlier.
frame17	surface_related	1.7	87	At the airport, James checked in for his sight earlier.
frame17	semantically_related	1.5	87	At the airport, James checked in for his rocket earlier.
frame17	unrelated	1.6	87	At the airport, James checked in for his machine earlier.
frame18	target_word	4.2	75	The lottery gave Emily a car as a prize yesterday.
frame18	surface_related	2.4	75	The lottery gave Emily a car as a price yesterday.
frame18	semantically_related	1.8	75	The lottery gave Emily a car as a medal yesterday.
frame18	unrelated	2.3	75	The lottery gave Emily a car as a child yesterday.
frame19	target_word	4.6	92	Sophie couldn't recall the recent event, and blamed her bad memory yesterday.
frame19	surface_related	2	92	Sophie couldn't recall the recent event, and blamed her bad melody yesterday.
frame19	semantically_related	2	92	Sophie couldn't recall the recent event, and blamed her bad storage yesterday.
frame19	unrelated	1.4	92	Sophie couldn't recall the recent event, and blamed her bad eraser yesterday.
frame20	target_word	3.5	87	The shoes were small, so Lily asked for the largest size available.
frame20	surface_related	1.9	87	The shoes were small, so Lily asked for the largest sign available.
frame20	semantically_related	1.5	87	The shoes were small, so Lily asked for the largest height available.
frame20	unrelated	1.5	87	The shoes were small, so Lily asked for the largest flip available.
frame21	target_word	4.6	98	To view the 3D image, people wore special glasses yesterday.
frame21	surface_related	1.4	98	To view the 3D image, people wore special classes yesterday.
frame21	semantically_related	1.9	98	To view the 3D image, people wore special eyes yesterday.
frame21	unrelated	1.5	98	To view the 3D image, people wore special markets yesterday.
frame22	target_word	4.6	95	At the football match, Bob scored a goal yesterday.
frame22	surface_related	1.2	95	At the football match, Bob scored a coal yesterday.
frame22	semantically_related	1.5	95	At the football match, Bob scored a team yesterday.
frame22	unrelated	1.4	95	At the football match, Bob scored a bear yesterday.
frame23	target_word	4.7	87	Grace put too much dressing on her salad yesterday.
frame23	surface_related	1.6	87	Grace put too much dressing on her ballad yesterday.
frame23	semantically_related	2	87	Grace put too much dressing on her refrigerator yesterday.
frame23	unrelated	1.6	87	Grace put too much dressing on her movie yesterday.
frame24	target_word	4.7	92	Chloe couldn't afford the necklace because of its high price sadly.
frame24	surface_related	1.4	92	Chloe couldn't afford the necklace because of its high pride sadly.
frame24	semantically_related	1.5	92	Chloe couldn't afford the necklace because of its high seller sadly.
frame24	unrelated	1.5	92	Chloe couldn't afford the necklace because of its high radio sadly.
frame25	target_word	4.5	67	The family went to the sea to catch some fish together.
frame25	surface_related	1.5	67	The family went to the sea to catch some wish together.
frame25	semantically_related	1.5	67	The family went to the sea to catch some pond together.
frame25	unrelated	1.4	67	The family went to the sea to catch some echo together.
frame26	target_word	4.7	70	Noah missed the final bus, and needed to take a taxi yesterday.
frame26	surface_related	1.8	70	Noah missed the final bus, and needed to take a tax yesterday.
frame26	semantically_related	1.5	70	Noah missed the final bus, and needed to take a fare yesterday.
frame26	unrelated	1.5	70	Noah missed the final bus, and needed to take a seed yesterday.
frame27	target_word	4.6	42	The workers reported the difficult problem to their boss yesterday.
frame27	surface_related	1.2	42	The workers reported the difficult problem to their bass yesterday.
frame27	semantically_related	2.3	42	The workers reported the difficult problem to their job yesterday.
frame27	unrelated	2	42	The workers reported the difficult problem to their port yesterday.
frame28	target_word	4.7	67	Freya had a serious car accident and is afraid of driving now.
frame28	surface_related	2.1	67	Freya had a serious car accident and is afraid of thriving now.
frame28	semantically_related	2	67	Freya had a serious car accident and is afraid of licences now.
frame28	unrelated	1.7	67	Freya had a serious car accident and is afraid of finding now.
frame29	target_word	4.6	53	The man was convicted for murder and is in prison now.
frame29	surface_related	1.6	53	The man was convicted for murder and is in poison now.
frame29	semantically_related	1.4	53	The man was convicted for murder and is in crime now.
frame29	unrelated	1.8	53	The man was convicted for murder and is in image now.
frame30	target_word	4.7	98	Beth loved cooking, and has become a world famous chef now.
frame30	surface_related	1.3	98	Beth loved cooking, and has become a world famous shelf now.
frame30	semantically_related	1.3	98	Beth loved cooking, and has become a world famous buffet now.
frame30	unrelated	1.9	98	Beth loved cooking, and has become a world famous aunt now.
frame31	target_word	4.5	95	Kyle asked the dentist to pull out the painful tooth gently.
frame31	surface_related	1.4	95	Kyle asked the dentist to pull out the painful booth gently.
frame31	semantically_related	1.5	95	Kyle asked the dentist to pull out the painful brush gently.
frame31	unrelated	1.5	95	Kyle asked the dentist to pull out the painful grade gently.
frame32	target_word	4.5	34	Having high blood pressure, George reduced his intake of salt considerably.
frame32	surface_related	2.3	34	Having high blood pressure, George reduced his intake of malt considerably.
frame32	semantically_related	1.3	34	Having high blood pressure, George reduced his intake of sea considerably.
frame32	unrelated	1.4	34	Having high blood pressure, George reduced his intake of bond considerably.
frame33	target_word	4.7	73	Children were excited to see the first snow this winter yesterday.
frame33	surface_related	1.4	73	Children were excited to see the first snow this printer yesterday.
frame33	semantically_related	2.5	73	Children were excited to see the first snow this summer yesterday.
frame33	unrelated	1.5	73	Children were excited to see the first snow this effect yesterday.
frame34	target_word	4.6	100	To see the new-born panda, Lucy will go to the zoo tomorrow.
frame34	surface_related	1.5	100	To see the new-born panda, Lucy will go to the loo tomorrow.
frame34	semantically_related	1.6	100	To see the new-born panda, Lucy will go to the lion tomorrow.
frame34	unrelated	2.4	100	To see the new-born panda, Lucy will go to the end tomorrow.
frame35	target_word	4.6	64	The country girl was overwhelmed to see streets full of people yesterday.
frame35	surface_related	3	64	The country girl was overwhelmed to see streets full of purple yesterday.
frame35	semantically_related	2.4	64	The country girl was overwhelmed to see streets full of customs yesterday.
frame35	unrelated	1.8	64	The country girl was overwhelmed to see streets full of length yesterday.
frame36	target_word	4	75	Daisy is nine months pregnant and will have her first baby soon.
frame36	surface_related	2.2	75	Daisy is nine months pregnant and will have her first bay soon.
frame36	semantically_related	2	75	Daisy is nine months pregnant and will have her first nappy soon.
frame36	unrelated	1.8	75	Daisy is nine months pregnant and will have her first agent soon.
frame37	target_word	4.7	92	Students at the train station are rushing to buy a ticket now.
frame37	surface_related	1.9	92	Students at the train station are rushing to buy a thicket now.
frame37	semantically_related	1.5	92	Students at the train station are rushing to buy a platform now.
frame37	unrelated	1.5	92	Students at the train station are rushing to buy a major now.
frame38	target_word	4	73	Feeling stressed at his workplace, Max relaxed at home completely.
frame38	surface_related	1.8	73	Feeling stressed at his workplace, Max relaxed at dome completely.
frame38	semantically_related	2.7	73	Feeling stressed at his workplace, Max relaxed at laundry completely.
frame38	unrelated	1.8	73	Feeling stressed at his workplace, Max relaxed at beer completely.
frame39	target_word	5	100	Isabella dyed her hair, but she doesn't like the colour now.
frame39	surface_related	2.3	100	Isabella dyed her hair, but she doesn't like the cutter now.
frame39	semantically_related	2.5	100	Isabella dyed her hair, but she doesn't like the paint now.
frame39	unrelated	1.5	100	Isabella dyed her hair, but she doesn't like the grape now.
frame40	target_word	4.9	81	For parking illegally, William was charged a fine yesterday.
frame40	surface_related	1.5	81	For parking illegally, William was charged a line yesterday.
frame40	semantically_related	1.5	81	For parking illegally, William was charged a court yesterday.
frame40	unrelated	1.2	81	For parking illegally, William was charged a rest yesterday.
frame41	target_word	4.7	81	Jim will go swimming and get a suntan at the beach tomorrow.
frame41	surface_related	1.5	81	Jim will go swimming and get a suntan at the peach tomorrow.
frame41	semantically_related	1.9	81	Jim will go swimming and get a suntan at the coconut tomorrow.
frame41	unrelated	1.2	81	Jim will go swimming and get a suntan at the drama tomorrow.
frame42	target_word	4.7	89	The house is haunted by ghosts now.
frame42	surface_related	1.8	89	The house is haunted by boasts now.
frame42	semantically_related	2.6	89	The house is haunted by halloween now.
frame42	unrelated	2.1	89	The house is haunted by eagles now.
frame43	target_word	5	100	The juice isn't cold enough, so Alice is adding some ice now.
frame43	surface_related	1.5	100	The juice isn't cold enough, so Alice is adding some dice now.
frame43	semantically_related	2	100	The juice isn't cold enough, so Alice is adding some cube now.
frame43	unrelated	2.5	100	The juice isn't cold enough, so Alice is adding some wine now.
frame44	target_word	5	92	The restaurant is always busy, so Leo will book a table now.
frame44	surface_related	1.9	92	The restaurant is always busy, so Leo will book a label now.
frame44	semantically_related	2.3	92	The restaurant is always busy, so Leo will book a chair now.
frame44	unrelated	1.8	92	The restaurant is always busy, so Leo will book a field now.
frame45	target_word	4.6	87	The baby is hungry and needs to drink some milk now.
frame45	surface_related	1.6	87	The baby is hungry and needs to drink some silk now.
frame45	semantically_related	1.4	87	The baby is hungry and needs to drink some cow now.
frame45	unrelated	1.2	87	The baby is hungry and needs to drink some debt now.
frame46	target_word	4.8	78	Before sending the letter, Daniel licked a stamp quickly.
frame46	surface_related	2	78	Before sending the letter, Daniel licked a stump quickly.
frame46	semantically_related	1.7	78	Before sending the letter, Daniel licked a payment quickly.
frame46	unrelated	1.8	78	Before sending the letter, Daniel licked a juice quickly.
frame47	target_word	5	64	The waiter got a generous tip because of his good service yesterday.
frame47	surface_related	1.6	64	The waiter got a generous tip because of his good surface yesterday.
frame47	semantically_related	1.6	64	The waiter got a generous tip because of his good complaints yesterday.
frame47	unrelated	1.1	64	The waiter got a generous tip because of his good million yesterday.
frame48	target_word	4.5	92	For their mother's birthday, the children will hold a party tomorrow.
frame48	surface_related	1.9	92	For their mother's birthday, the children will hold a pasty tomorrow.
frame48	semantically_related	1.5	92	For their mother's birthday, the children will hold a guest tomorrow.
frame48	unrelated	2	92	For their mother's birthday, the children will hold a scene tomorrow.
frame49	target_word	4.8	34	Only one cake is left, so Lilly doesn't have a choice anyway.
frame49	surface_related	2.2	34	Only one cake is left, so Lilly doesn't have a voice anyway.
frame49	semantically_related	2	34	Only one cake is left, so Lilly doesn't have a future anyway.
frame49	unrelated	1.6	34	Only one cake is left, so Lilly doesn't have a minute anyway.
frame50	target_word	4.9	64	The men are watching football and drinking beer in the pub together.
frame50	surface_related	1.4	64	The men are watching football and drinking beer in the rub together.
frame50	semantically_related	1.7	64	The men are watching football and drinking beer in the owner together.
frame50	unrelated	1.8	64	The men are watching football and drinking beer in the let together.
frame51	target_word	4.6	98	The plane crash was avoided by the experienced pilot yesterday.
frame51	surface_related	1.8	98	The plane crash was avoided by the experienced pallet yesterday.
frame51	semantically_related	2	98	The plane crash was avoided by the experienced flight yesterday.
frame51	unrelated	1.2	98	The plane crash was avoided by the experienced mail yesterday.
frame52	target_word	4.5	50	The bus driver charged Rosie a regular fare yesterday.
frame52	surface_related	1.5	50	The bus driver charged Rosie a regular care yesterday.
frame52	semantically_related	1.9	50	The bus driver charged Rosie a regular cash yesterday.
frame52	unrelated	1.3	50	The bus driver charged Rosie a regular twin yesterday.
frame53	target_word	4.9	81	Henry was seriously injured but the doctor saved his life successfully.
frame53	surface_related	2.7	81	Henry was seriously injured but the doctor saved his knife successfully.
frame53	semantically_related	1.5	81	Henry was seriously injured but the doctor saved his death successfully.
frame53	unrelated	1.4	81	Henry was seriously injured but the doctor saved his corn successfully.
frame54	target_word	4.6	67	Joseph used a lighter to make a fire easily.
frame54	surface_related	1.5	67	Joseph used a lighter to make a hire easily.
frame54	semantically_related	1.5	67	Joseph used a lighter to make a chimney easily.
frame54	unrelated	1.3	67	Joseph used a lighter to make a statue easily.
frame55	target_word	4.8	92	The famous dancer performed on the stage yesterday.
frame55	surface_related	2.2	92	The famous dancer performed on the state yesterday.
frame55	semantically_related	2	92	The famous dancer performed on the actor yesterday.
frame55	unrelated	2	92	The famous dancer performed on the cloud yesterday.
frame56	target_word	4.7	89	The girls are going to have cocktails and dance in a club together.
frame56	surface_related	1.4	89	The girls are going to have cocktails and dance in a crab together.
frame56	semantically_related	1.8	89	The girls are going to have cocktails and dance in a sport together.
frame56	unrelated	2.2	89	The girls are going to have cocktails and dance in a mist together.
frame57	target_word	5	100	The supporters wished the team good luck yesterday.
frame57	surface_related	1.6	100	The supporters wished the team good duck yesterday.
frame57	semantically_related	2	100	The supporters wished the team good yell yesterday.
frame57	unrelated	1.2	100	The supporters wished the team good view yesterday.
frame58	target_word	5	78	The cricket player wants his own glove, ball and bat now.
frame58	surface_related	3	78	The cricket player wants his own glove, ball and rat now.
frame58	semantically_related	2.1	78	The cricket player wants his own glove, ball and hit now.
frame58	unrelated	1.4	78	The cricket player wants his own glove, ball and sneeze now.
frame59	target_word	5	95	Hannah bought a calendar and hung it on the wall yesterday.
frame59	surface_related	1.7	95	Hannah bought a calendar and hung it on the mall yesterday.
frame59	semantically_related	1.6	95	Hannah bought a calendar and hung it on the floor yesterday.
frame59	unrelated	1.7	95	Hannah bought a calendar and hung it on the fruit yesterday.
frame60	target_word	5	81	The man with the history of self-harm cut his wrist suddenly.
frame60	surface_related	1.9	81	The man with the history of self-harm cut his list suddenly.
frame60	semantically_related	2.1	81	The man with the history of self-harm cut his grip suddenly.
frame60	unrelated	1.2	81	The man with the history of self-harm cut his sky suddenly.
frame61	target_word	4.6	81	Susan felt tears coming as she sliced the onion carefully.
frame61	surface_related	2.9	81	Susan felt tears coming as she sliced the union carefully.
frame61	semantically_related	1.4	81	Susan felt tears coming as she sliced the flavour carefully.
frame61	unrelated	1.1	81	Susan felt tears coming as she sliced the error carefully.
frame62	target_word	4.9	89	The woman was hit by a truck when crossing the road yesterday.
frame62	surface_related	1.5	89	The woman was hit by a truck when crossing the load yesterday.
frame62	semantically_related	2	89	The woman was hit by a truck when crossing the cyclist yesterday.
frame62	unrelated	1.2	89	The woman was hit by a truck when crossing the math yesterday.
frame63	target_word	5	100	Tyler knows many cocktail recipes because he works in a bar now.
frame63	surface_related	1.8	100	Tyler knows many cocktail recipes because he works in a war now.
frame63	semantically_related	1.3	100	Tyler knows many cocktail recipes because he works in a pint now.
frame63	unrelated	1.2	100	Tyler knows many cocktail recipes because he works in a joy now.
frame64	target_word	5	98	Kate didn't like coffee, so she ordered a cup of tea instead.
frame64	surface_related	1.4	98	Kate didn't like coffee, so she ordered a cup of team instead.
frame64	semantically_related	1.4	98	Kate didn't like coffee, so she ordered a cup of mug instead.
frame64	unrelated	1.2	98	Kate didn't like coffee, so she ordered a cup of myth instead.
frame65	target_word	5	67	Sam plays guitar in a popular band now.
frame65	surface_related	1.4	67	Sam plays guitar in a popular sand now.
frame65	semantically_related	2.4	67	Sam plays guitar in a popular music now.
frame65	unrelated	1.1	67	Sam plays guitar in a popular hero now.
frame66	target_word	4.5	87	As the trousers were loose, Tony tightened up his belt yesterday.
frame66	surface_related	1.5	87	As the trousers were loose, Tony tightened up his beat yesterday.
frame66	semantically_related	2	87	As the trousers were loose, Tony tightened up his helmet yesterday.
frame66	unrelated	1.3	87	As the trousers were loose, Tony tightened up his tube yesterday.
frame67	target_word	5	92	Meg will go to the park to walk her dog tomorrow.
frame67	surface_related	1.5	92	Meg will go to the park to walk her fog tomorrow.
frame67	semantically_related	1.6	92	Meg will go to the park to walk her tail tomorrow.
frame67	unrelated	1.3	92	Meg will go to the park to walk her tyre tomorrow.
frame68	target_word	4.9	84	The terrorist shot and killed five people using a gun yesterday.
frame68	surface_related	1.5	84	The terrorist shot and killed five people using a gum yesterday.
frame68	semantically_related	1.8	84	The terrorist shot and killed five people using a grip yesterday.
frame68	unrelated	1.3	84	The terrorist shot and killed five people using a rib yesterday.
frame69	target_word	5	92	The mole was digging a hole yesterday.
frame69	surface_related	1.5	92	The mole was digging a pole yesterday.
frame69	semantically_related	1.4	92	The mole was digging a drill yesterday.
frame69	unrelated	1.6	92	The mole was digging a mass yesterday.
frame70	target_word	4.8	78	The horse went outside the course, and didn't win the race understandably.
frame70	surface_related	2	78	The horse went outside the course, and didn't win the lace understandably.
frame70	semantically_related	1.5	78	The horse went outside the course, and didn't win the bike understandably.
frame70	unrelated	1.8	78	The horse went outside the course, and didn't win the snap understandably.
frame71	target_word	4.5	87	Emma loves a bargain, and everything she bought was on sale actually.
frame71	surface_related	1.5	87	Emma loves a bargain, and everything she bought was on safe actually.
frame71	semantically_related	2.5	87	Emma loves a bargain, and everything she bought was on refunds actually.
frame71	unrelated	1.3	87	Emma loves a bargain, and everything she bought was on noon actually.
frame72	target_word	4.2	78	The king's throne was taken by his first-born son yesterday.
frame72	surface_related	1.5	78	The king's throne was taken by his first-born ton yesterday.
frame72	semantically_related	1.5	78	The king's throne was taken by his first-born father yesterday.
frame72	unrelated	1.2	78	The king's throne was taken by his first-born fox yesterday.
frame73	target_word	5	84	The camp leader taught children how to pitch a tent yesterday.
frame73	surface_related	1.5	84	The camp leader taught children how to pitch a cent yesterday.
frame73	semantically_related	1.3	84	The camp leader taught children how to pitch a cave yesterday.
frame73	unrelated	1.3	84	The camp leader taught children how to pitch a flaw yesterday.
frame74	target_word	4.7	92	He enjoys hiking in the woods because of the fresh air outside.
frame74	surface_related	1.7	92	He enjoys hiking in the woods because of the fresh hair outside.
frame74	semantically_related	2.9	92	He enjoys hiking in the woods because of the fresh dust outside.
frame74	unrelated	1.4	92	He enjoys hiking in the woods because of the fresh ray outside.
frame75	target_word	4.4	75	All the colleagues have savings accounts at the same bank somehow.
frame75	surface_related	2.1	75	All the colleagues have savings accounts at the same back somehow.
frame75	semantically_related	1.3	75	All the colleagues have savings accounts at the same receipt somehow.
frame75	unrelated	1.4	75	All the colleagues have savings accounts at the same lake somehow.
frame76	target_word	4.9	100	Ben went to the gym to swim in the pool earlier.
frame76	surface_related	1.5	100	Ben went to the gym to swim in the tool earlier.
frame76	semantically_related	1.5	100	Ben went to the gym to swim in the sink earlier.
frame76	unrelated	1.3	100	Ben went to the gym to swim in the lump earlier.
frame77	target_word	4.3	53	Adam keeps different breeds of cows in his farm now.
frame77	surface_related	1.6	53	Adam keeps different breeds of cows in his harm now.
frame77	semantically_related	1.6	53	Adam keeps different breeds of cows in his yields now.
frame77	unrelated	1.3	53	Adam keeps different breeds of cows in his navy now.
frame78	target_word	4.2	95	For relaxation, Matilda soaked in a hot bath yesterday.
frame78	surface_related	1.5	95	For relaxation, Matilda soaked in a hot path yesterday.
frame78	semantically_related	2.4	95	For relaxation, Matilda soaked in a hot soap yesterday.
frame78	unrelated	1.4	95	For relaxation, Matilda soaked in a hot loaf yesterday.
frame79	target_word	4.5	92	Lewis lost his memory because of the damage to his brain yesterday.
frame79	surface_related	1.5	92	Lewis lost his memory because of the damage to his grain yesterday.
frame79	semantically_related	1.5	92	Lewis lost his memory because of the damage to his surgeries yesterday.
frame79	unrelated	1.2	92	Lewis lost his memory because of the damage to his nation yesterday.
frame80	target_word	3.7	75	After shuffling, the croupier asked the guest to select one card only.
frame80	surface_related	1.6	75	After shuffling, the croupier asked the guest to select one cart only.
frame80	semantically_related	1.5	75	After shuffling, the croupier asked the guest to select one swap only.
frame80	unrelated	2	75	After shuffling, the croupier asked the guest to select one roll only.
frame81	target_word	4.3	98	Nobody knows the time as this room has no clock now.
frame81	surface_related	1.6	98	Nobody knows the time as this room has no clerk now.
frame81	semantically_related	1.7	98	Nobody knows the time as this room has no alarm now.
frame81	unrelated	1.3	98	Nobody knows the time as this room has no scarf now.
frame82	target_word	4.5	53	Ryan refused to invest to avoid taking a risk yesterday.
frame82	surface_related	1.8	53	Ryan refused to invest to avoid taking a disc yesterday.
frame82	semantically_related	1.1	53	Ryan refused to invest to avoid taking a benefit yesterday.
frame82	unrelated	1.2	53	Ryan refused to invest to avoid taking a door yesterday.
frame83	target_word	4.9	78	The client immediately signed the contract because it was a good deal indeed.
frame83	surface_related	1.6	78	The client immediately signed the contract because it was a good meal indeed.
frame83	semantically_related	2.5	78	The client immediately signed the contract because it was a good trust indeed.
frame83	unrelated	1.6	78	The client immediately signed the contract because it was a good flower indeed.
frame84	target_word	4.7	39	By closely examining a painting, one can see all the detail clearly.
frame84	surface_related	2.1	39	By closely examining a painting, one can see all the retail clearly.
frame84	semantically_related	2	39	By closely examining a painting, one can see all the paragraphs clearly.
frame84	unrelated	2.6	39	By closely examining a painting, one can see all the syrup clearly.
frame85	target_word	4.5	70	Toby used to walk to school, but now he takes a bus often.
frame85	surface_related	1.5	70	Toby used to walk to school, but now he takes a bug often.
frame85	semantically_related	2.3	70	Toby used to walk to school, but now he takes a seat often.
frame85	unrelated	1.3	70	Toby used to walk to school, but now he takes a use often.
frame86	target_word	5	98	In the class, Bella whispered in her friend's ear quickly.
frame86	surface_related	2.4	98	In the class, Bella whispered in her friend's rear quickly.
frame86	semantically_related	1.5	98	In the class, Bella whispered in her friend's sound quickly.
frame86	unrelated	1.5	98	In the class, Bella whispered in her friend's kin quickly.
frame87	target_word	5	92	Two dogs injured each other when they had a fight yesterday.
frame87	surface_related	1.8	92	Two dogs injured each other when they had a light yesterday.
frame87	semantically_related	1.6	92	Two dogs injured each other when they had a troop yesterday.
frame87	unrelated	1.5	92	Two dogs injured each other when they had a piano yesterday.
frame88	target_word	4.5	84	To make meringue, she separated the whites from five eggs carefully.
frame88	surface_related	1.5	84	To make meringue, she separated the whites from five pegs carefully.
frame88	semantically_related	2	84	To make meringue, she separated the whites from five nests carefully.
frame88	unrelated	1.2	84	To make meringue, she separated the whites from five toes carefully.
frame89	target_word	5	73	To make two groups, the lecturer split the class in half quickly.
frame89	surface_related	1.4	73	To make two groups, the lecturer split the class in calf quickly.
frame89	semantically_related	1.8	73	To make two groups, the lecturer split the class in dozen quickly.
frame89	unrelated	1.5	73	To make two groups, the lecturer split the class in lake quickly.
frame90	target_word	4.2	95	Seeing buds on trees heralds the arrival of spring surely.
frame90	surface_related	1.5	95	Seeing buds on trees heralds the arrival of sprint surely.
frame90	semantically_related	1.4	95	Seeing buds on trees heralds the arrival of winter surely.
frame90	unrelated	1.3	95	Seeing buds on trees heralds the arrival of power surely.
frame91	target_word	5	81	The store was so busy that the clerk needed help yesterday.
frame91	surface_related	1.5	81	The store was so busy that the clerk needed heap yesterday.
frame91	semantically_related	2	81	The store was so busy that the clerk needed lifeguards yesterday.
frame91	unrelated	1.1	81	The store was so busy that the clerk needed fog yesterday.
frame92	target_word	5	34	The solution didn't work, and Harley lost all hope yesterday.
frame92	surface_related	1.5	34	The solution didn't work, and Harley lost all hose yesterday.
frame92	semantically_related	2.5	34	The solution didn't work, and Harley lost all regret yesterday.
frame92	unrelated	2.4	34	The solution didn't work, and Harley lost all nails yesterday.
frame93	target_word	4.9	100	To remember to buy everything she wanted, Gracie made a list quickly.
frame93	surface_related	1.6	100	To remember to buy everything she wanted, Gracie made a lift quickly.
frame93	semantically_related	1.2	100	To remember to buy everything she wanted, Gracie made a volume quickly.
frame93	unrelated	2	100	To remember to buy everything she wanted, Gracie made a disc quickly.
frame94	target_word	4.9	95	The computer pointer doesn't move though Tommy is moving the mouse now.
frame94	surface_related	1.6	95	The computer pointer doesn't move though Tommy is moving the mouth now.
frame94	semantically_related	2.5	95	The computer pointer doesn't move though Tommy is moving the click now.
frame94	unrelated	2.1	95	The computer pointer doesn't move though Tommy is moving the lemon now.
