Frame	Condition	FullSentence	TargetWord
Frame32	pred	The bakery did not accept credit cards so Peter would have to write a check or use cash.	check
Frame32	orth	The bakery did not accept credit cards so Peter would have to write a chuck or use cash.	chuck
Frame32	sem	The bakery did not accept credit cards so Peter would have to write a mate or use cash.	mate
Frame32	unrel	The bakery did not accept credit cards so Peter would have to write a residue or use cash.	residue
Frame34	pred	The potter sculpted an ashtray out of clay and sand.	clay
Frame34	orth	The potter sculpted an ashtray out of clap and sand.	clap
Frame34	sem	The potter sculpted an ashtray out of art and sand.	art
Frame34	unrel	The potter sculpted an ashtray out of rumble and sand.	rumble
Frame35	pred	They wanted to drill for oil just off the California coast and into Oregon.	coast
Frame35	orth	They wanted to drill for oil just off the California roast and into Oregon.	roast
Frame35	sem	They wanted to drill for oil just off the California anchor and into Oregon.	anchor
Frame35	unrel	They wanted to drill for oil just off the California witch and into Oregon.	witch
Frame36	pred	As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter coat until autumn.	coat
Frame36	orth	As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter boat until autumn.	boat
Frame36	sem	As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter rack until autumn.	rack
Frame36	unrel	As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter disease until autumn.	disease
Frame37	pred	Within minutes of arriving at the office, the detective spilled his thermos full of coffee on himself.	coffee
Frame37	orth	Within minutes of arriving at the office, the detective spilled his thermos full of toffee on himself.	toffee
Frame37	sem	Within minutes of arriving at the office, the detective spilled his thermos full of mornings on himself.	mornings
Frame37	unrel	Within minutes of arriving at the office, the detective spilled his thermos full of safety on himself.	safety
Frame38	pred	The barber parted my hair with a comb before beginning cutting.	comb
Frame38	orth	The barber parted my hair with a bomb before beginning cutting.	bomb
Frame38	sem	The barber parted my hair with a tangle before beginning cutting.	tangle
Frame38	unrel	The barber parted my hair with a route before beginning cutting.	route
Frame39	pred	In the U.S. the five cent piece is made of nickel while pennies are mainly made of copper these days.	copper
Frame39	orth	In the U.S. the five cent piece is made of nickel while pennies are mainly made of hopper these days.	hopper
Frame39	sem	In the U.S. the five cent piece is made of nickel while pennies are mainly made of wire these days.	wire
Frame39	unrel	In the U.S. the five cent piece is made of nickel while pennies are mainly made of menus these days.	menus
Frame40	pred	Her parents were afraid she had joined some sort of strange cult while at college.	cult
Frame40	orth	Her parents were afraid she had joined some sort of strange colt while at college.	colt
Frame40	sem	Her parents were afraid she had joined some sort of strange robe while at college.	robe
Frame40	unrel	Her parents were afraid she had joined some sort of strange highway while at college.	highway
Frame42	pred	The teenager attended her prom without a date this year.	date
Frame42	orth	The teenager attended her prom without a gate this year.	gate
Frame42	sem	The teenager attended her prom without a time this year.	time
Frame42	unrel	The teenager attended her prom without a majority this year.	majority
Frame44	pred	When someone suffers a heart attack a few minutes can make the difference between recovery and death they say.	death
Frame44	orth	When someone suffers a heart attack a few minutes can make the difference between recovery and depth they say.	depth
Frame44	sem	When someone suffers a heart attack a few minutes can make the difference between recovery and certificates they say.	certificates
Frame44	unrel	When someone suffers a heart attack a few minutes can make the difference between recovery and ear they say.	ear
Frame45	pred	After missing lunch, he couldn't wait until it was time for dinner to eat something.	dinner
Frame45	orth	After missing lunch, he couldn't wait until it was time for sinner to eat something.	sinner
Frame45	sem	After missing lunch, he couldn't wait until it was time for napkins to eat something.	napkins
Frame45	unrel	After missing lunch, he couldn't wait until it was time for material to eat something.	material
Frame47	pred	The little puppy grew up to be a huge dog with big ears.	dog
Frame47	orth	The little puppy grew up to be a huge dot with big ears.	dot
Frame47	sem	The little puppy grew up to be a huge collar with big ears.	collar
Frame47	unrel	The little puppy grew up to be a huge harp with big ears.	harp
Frame48	pred	At night the old woman locked the door before bedtime.	door
Frame48	orth	At night the old woman locked the poor before bedtime.	poor
Frame48	sem	At night the old woman locked the mat before bedtime.	mat
Frame48	unrel	At night the old woman locked the mountain before bedtime.	mountain
Frame49	pred	Maria remembered to shut the front window and lock the back door before leaving.	door
Frame49	orth	Maria remembered to shut the front window and lock the back doom before leaving.	doom
Frame49	sem	Maria remembered to shut the front window and lock the back jamb before leaving.	jamb
Frame49	unrel	Maria remembered to shut the front window and lock the back gin before leaving.	gin
Frame50	pred	The mean boy on the other team was his sworn enemy since kindergarten.	enemy
Frame50	orth	The mean boy on the other team was his sworn enema since kindergarten.	enema
Frame50	sem	The mean boy on the other team was his sworn hate since kindergarten.	hate
Frame50	unrel	The mean boy on the other team was his sworn shrub since kindergarten.	shrub
Frame51	pred	The dog terrorized all the neighborhood cats after he jumped the picket fence and growled.	fence
Frame51	orth	The dog terrorized all the neighborhood cats after he jumped the picket hence and growled.	hence
Frame51	sem	The dog terrorized all the neighborhood cats after he jumped the picket guard and growled.	guard
Frame51	unrel	The dog terrorized all the neighborhood cats after he jumped the picket echo and growled.	echo
Frame52	pred	The goaltender kicked the ball down the field ten yards.	field
Frame52	orth	The goaltender kicked the ball down the yield ten yards.	yield
Frame52	sem	The goaltender kicked the ball down the hay ten yards.	hay
Frame52	unrel	The goaltender kicked the ball down the tune ten yards.	tune
Frame53	pred	The groom took the bride's hand and placed the ring on her finger very carefully.	finger
Frame53	orth	The groom took the bride's hand and placed the ring on her ginger very carefully.	ginger
Frame53	sem	The groom took the bride's hand and placed the ring on her grip very carefully.	grip
Frame53	unrel	The groom took the bride's hand and placed the ring on her function very carefully.	function
Frame54	pred	Harris saw smoke billowing out of his neighbors’ home and immediately got on the phone to report a fire to the authorities.	fire
Frame54	orth	Harris saw smoke billowing out of his neighbors’ home and immediately got on the phone to report a firm to the authorities.	firm
Frame54	sem	Harris saw smoke billowing out of his neighbors’ home and immediately got on the phone to report a hose to the authorities.	hose
Frame54	unrel	Harris saw smoke billowing out of his neighbors’ home and immediately got on the phone to report a niece to the authorities.	niece
Frame56	pred	Marge hated baiting the hook, but she knew that it was the only way to catch a fish without lures.	fish
Frame56	orth	Marge hated baiting the hook, but she knew that it was the only way to catch a wish without lures.	wish
Frame56	sem	Marge hated baiting the hook, but she knew that it was the only way to catch a scale without lures.	scale
Frame56	unrel	Marge hated baiting the hook, but she knew that it was the only way to catch a hurricane without lures.	hurricane
Frame57	pred	While Natasha was strolling through the colorful gardens, she reached down and picked a flower for Mom.	flower
Frame57	orth	While Natasha was strolling through the colorful gardens, she reached down and picked a slower for Mom.	slower
Frame57	sem	While Natasha was strolling through the colorful gardens, she reached down and picked a fragrance for Mom.	fragrance
Frame57	unrel	While Natasha was strolling through the colorful gardens, she reached down and picked a profile for Mom.	profile
Frame58	pred	The ship disappeared into the thick fog at dusk.	fog
Frame58	orth	The ship disappeared into the thick dog at dusk.	dog
Frame58	sem	The ship disappeared into the thick visibility at dusk.	visibility
Frame58	unrel	The ship disappeared into the thick punishment at dusk.	punishment
Frame59	pred	After realizing he forgot utensils for his salad, the doctor went back to get himself a fork and knife.	fork
Frame59	orth	After realizing he forgot utensils for his salad, the doctor went back to get himself a cork and knife.	cork
Frame59	sem	After realizing he forgot utensils for his salad, the doctor went back to get himself a tine and knife.	tine
Frame59	unrel	After realizing he forgot utensils for his salad, the doctor went back to get himself a friendship and knife.	friendship
Frame61	pred	Frank invited the lonely young soldier to a baseball game after work.	game
Frame61	orth	Frank invited the lonely young soldier to a baseball name after work.	name
Frame61	sem	Frank invited the lonely young soldier to a baseball referee after work.	referee
Frame61	unrel	Frank invited the lonely young soldier to a baseball walnut after work.	walnut
Frame62	pred	Irene wanted to drive all the way to the Eastern shore by last night but her truck ran out of gas at midnight.	gas
Frame62	orth	Irene wanted to drive all the way to the Eastern shore by last night but her truck ran out of was at midnight.	was
Frame62	sem	Irene wanted to drive all the way to the Eastern shore by last night but her truck ran out of leaks at midnight.	leaks
Frame62	unrel	Irene wanted to drive all the way to the Eastern shore by last night but her truck ran out of clown at midnight.	clown
Frame64	pred	After the hurricane, the area around the window was filled with broken glass and debris.	glass
Frame64	orth	After the hurricane, the area around the window was filled with broken class and debris.	class
Frame64	sem	After the hurricane, the area around the window was filled with broken drinks and debris.	drinks
Frame64	unrel	After the hurricane, the area around the window was filled with broken honey and debris.	honey
Frame65	pred	Brad wasn't wearing shoes and stepped on a piece of broken glass and bled.	glass
Frame65	orth	Brad wasn't wearing shoes and stepped on a piece of broken gloss and bled.	gloss
Frame65	sem	Brad wasn't wearing shoes and stepped on a piece of broken view and bled.	view
Frame65	unrel	Brad wasn't wearing shoes and stepped on a piece of broken job and bled.	job
Frame67	pred	Nicole could not read very well without her glasses at school.	glasses
Frame67	orth	Nicole could not read very well without her classes at school.	classes
Frame67	sem	Nicole could not read very well without her nerd at school.	nerd
Frame67	unrel	Nicole could not read very well without her cereal at school.	cereal
Frame68	pred	He tried to put the pieces of the broken plate back together with glue and pressure.	glue
Frame68	orth	He tried to put the pieces of the broken plate back together with blue and pressure.	blue
Frame68	sem	He tried to put the pieces of the broken plate back together with paper and pressure.	paper
Frame68	unrel	He tried to put the pieces of the broken plate back together with pasture and pressure.	pasture
Frame69	pred	The Spanish conquerors searched the temple for silver and gold from Incas.	gold
Frame69	orth	The Spanish conquerors searched the temple for silver and golf from Incas.	golf
Frame69	sem	The Spanish conquerors searched the temple for silver and chain from Incas.	chain
Frame69	unrel	The Spanish conquerors searched the temple for silver and meeting from Incas.	meeting
Frame71	pred	The men barbequed some burgers on the grill with onions.	grill
Frame71	orth	The men barbequed some burgers on the drill with onions.	drill
Frame71	sem	The men barbequed some burgers on the dad with onions.	dad
Frame71	unrel	The men barbequed some burgers on the uncle with onions.	uncle
Frame73	pred	The bride vowed her love to the groom for life.	groom
Frame73	orth	The bride vowed her love to the broom for life.	broom
Frame73	sem	The bride vowed her love to the tuxedo for life.	tuxedo
Frame73	unrel	The bride vowed her love to the lantern for life.	lantern
Frame74	pred	The fire broke out in the middle of the night and the house burnt to the ground and smoldered.	ground
Frame74	orth	The fire broke out in the middle of the night and the house burnt to the around and smoldered.	around
Frame74	sem	The fire broke out in the middle of the night and the house burnt to the worms and smoldered.	worms
Frame74	unrel	The fire broke out in the middle of the night and the house burnt to the drum and smoldered.	drum
Frame75	pred	During the first week after he quit smoking, he found it helpful to chew gum when bored.	gum
Frame75	orth	During the first week after he quit smoking, he found it helpful to chew bum when bored.	bum
Frame75	sem	During the first week after he quit smoking, he found it helpful to chew saliva when bored.	saliva
Frame75	unrel	During the first week after he quit smoking, he found it helpful to chew stadium when bored.	stadium
Frame76	pred	The cop shot the assailant with his gun without thinking.	gun
Frame76	orth	The cop shot the assailant with his fun without thinking.	fun
Frame76	sem	The cop shot the assailant with his target without thinking.	target
Frame76	unrel	The cop shot the assailant with his growth without thinking.	growth
Frame77	pred	He pounded in the nails with a hammer from his toolbox.	hammer
Frame77	orth	He pounded in the nails with a hamper from his toolbox.	hamper
Frame77	sem	He pounded in the nails with a tack from his toolbox.	tack
Frame77	unrel	He pounded in the nails with a summer from his toolbox.	summer
Frame79	pred	When the two met, one of them held out his hand and smiled.	hand
Frame79	orth	When the two met, one of them held out his land and smiled.	land
Frame79	sem	When the two met, one of them held out his touch and smiled.	touch
Frame79	unrel	When the two met, one of them held out his gang and smiled.	gang
Frame80	pred	The magician pulled a rabbit from his hat at last.	hat
Frame80	orth	The magician pulled a rabbit from his oat at last.	oat
Frame80	sem	The magician pulled a rabbit from his feather at last.	feather
Frame80	unrel	The magician pulled a rabbit from his protest at last.	protest
Frame81	pred	The cardiologist performed an operation on my heart this morning.	heart
Frame81	orth	The cardiologist performed an operation on my heard this morning.	heard
Frame81	sem	The cardiologist performed an operation on my beat this morning.	beat
Frame81	unrel	The cardiologist performed an operation on my weather this morning.	weather
Frame83	pred	Due to its rough terrain, stranded hikers on the mountain often send flares to call for help from afar.	help
Frame83	orth	Due to its rough terrain, stranded hikers on the mountain often send flares to call for heap from afar.	heap
Frame83	sem	Due to its rough terrain, stranded hikers on the mountain often send flares to call for harm from afar.	harm
Frame83	unrel	Due to its rough terrain, stranded hikers on the mountain often send flares to call for expansion from afar.	expansion
Frame84	pred	Many youngsters find it difficult to go away from home for camp.	home
Frame84	orth	Many youngsters find it difficult to go away from hole for camp.	hole
Frame84	sem	Many youngsters find it difficult to go away from comfort for camp.	comfort
Frame84	unrel	Many youngsters find it difficult to go away from honeymoon for camp.	honeymoon
Frame85	pred	The equestrian positioned the saddle on the horse and set out.	horse
Frame85	orth	The equestrian positioned the saddle on the worse and set out.	worse
Frame85	sem	The equestrian positioned the saddle on the neigh and set out.	neigh
Frame85	unrel	The equestrian positioned the saddle on the episode and set out.	episode
Frame86	pred	Tom's cat brought a lot of fleas into his house and shed a lot of fur.	house
Frame86	orth	Tom's cat brought a lot of fleas into his horse and shed a lot of fur.	horse
Frame86	sem	Tom's cat brought a lot of fleas into his mortgage and shed a lot of fur.	mortgage
Frame86	unrel	Tom's cat brought a lot of fleas into his matter and shed a lot of fur.	matter
Frame88	pred	The bartender chilled the champagne over some ice before dinner.	ice
Frame88	orth	The bartender chilled the champagne over some mice before dinner.	mice
Frame88	sem	The bartender chilled the champagne over some hockey before dinner.	hockey
Frame88	unrel	The bartender chilled the champagne over some tricks before dinner.	tricks
Frame89	pred	The comedian broke the ice with a joke and some props.	joke
Frame89	orth	The comedian broke the ice with a woke and some props.	woke
Frame89	sem	The comedian broke the ice with a wit and some props.	wit
Frame89	unrel	The comedian broke the ice with a native and some props.	native
Frame90	pred	You can't open the door with the wrong key or combination.	key
Frame90	orth	You can't open the door with the wrong hey or combination.	hey
Frame90	sem	You can't open the door with the wrong jingle or combination.	jingle
Frame90	unrel	You can't open the door with the wrong stew or combination.	stew
Frame91	pred	The head of a monarchy, and husband to the queen, is the king and ruler.	king
Frame91	orth	The head of a monarchy, and husband to the queen, is the kind and ruler.	kind
Frame91	sem	The head of a monarchy, and husband to the queen, is the chess and ruler.	chess
Frame91	unrel	The head of a monarchy, and husband to the queen, is the sofa and ruler.	sofa
Frame92	pred	The day was breezy so the boy went outside to fly a kite with some friends.	kite
Frame92	orth	The day was breezy so the boy went outside to fly a bite with some friends.	bite
Frame92	sem	The day was breezy so the boy went outside to fly a tail with some friends.	tail
Frame92	unrel	The day was breezy so the boy went outside to fly a harvest with some friends.	harvest
Frame94	pred	You can't turn left at that intersection because it is against the law in our town.	law
Frame94	orth	You can't turn left at that intersection because it is against the jaw in our town.	jaw
Frame94	sem	You can't turn left at that intersection because it is against the justice in our town.	justice
Frame94	unrel	You can't turn left at that intersection because it is against the orange in our town.	orange
Frame95	pred	The mechanic said radar guns should be against the law in this country.	law
Frame95	orth	The mechanic said radar guns should be against the lap in this country.	lap
Frame95	sem	The mechanic said radar guns should be against the enforcement in this country.	enforcement
Frame95	unrel	The mechanic said radar guns should be against the bargain in this country.	bargain
Frame96	pred	Anthony tore some cartilage in his knee and got a big cast around his whole leg for several months.	leg
Frame96	orth	Anthony tore some cartilage in his knee and got a big cast around his whole let for several months.	let
Frame96	sem	Anthony tore some cartilage in his knee and got a big cast around his whole drumstick for several months.	drumstick
Frame96	unrel	Anthony tore some cartilage in his knee and got a big cast around his whole antenna for several months.	antenna
Frame98	pred	Angela knew she couldn't use the camera with the shattered lens to take pictures.	lens
Frame98	orth	Angela knew she couldn't use the camera with the shattered lent to take pictures.	lent
Frame98	sem	Angela knew she couldn't use the camera with the shattered eye to take pictures.	eye
Frame98	unrel	Angela knew she couldn't use the camera with the shattered princess to take pictures.	princess
Frame99	pred	When you go to bed turn off the lights before sleeping.	lights
Frame99	orth	When you go to bed turn off the fights before sleeping.	fights
Frame99	sem	When you go to bed turn off the darkness before sleeping.	darkness
Frame99	unrel	When you go to bed turn off the robbery before sleeping.	robbery
Frame100	pred	I added my name to the list at work.	list
Frame100	orth	I added my name to the fist at work.	fist
Frame100	sem	I added my name to the shopping at work.	shopping
Frame100	unrel	I added my name to the peach at work.	peach
Frame101	pred	The cyclist secured her bike with a lock before leaving.	lock
Frame101	orth	The cyclist secured her bike with a sock before leaving.	sock
Frame101	sem	The cyclist secured her bike with a jail before leaving.	jail
Frame101	unrel	The cyclist secured her bike with a nature before leaving.	nature
Frame102	pred	He shouted at the top of his lungs to everyone.	lungs
Frame102	orth	He shouted at the top of his rungs to everyone.	rungs
Frame102	sem	He shouted at the top of his air to everyone.	air
Frame102	unrel	He shouted at the top of his decoration to everyone.	decoration
Frame103	pred	There were no real letters, only catalogs and a lot of junk mail this time.	mail
Frame103	orth	There were no real letters, only catalogs and a lot of junk fail this time.	fail
Frame103	sem	There were no real letters, only catalogs and a lot of junk fraud this time.	fraud
Frame103	unrel	There were no real letters, only catalogs and a lot of junk island this time.	island
Frame104	pred	The traveler located the sites on the map with help.	map
Frame104	orth	The traveler located the sites on the may with help.	may
Frame104	sem	The traveler located the sites on the direction with help.	direction
Frame104	unrel	The traveler located the sites on the pain with help.	pain
Frame105	pred	To help everyone find her house, Lilly drew a map for them.	map
Frame105	orth	To help everyone find her house, Lilly drew a gap for them.	gap
Frame105	sem	To help everyone find her house, Lilly drew a world for them.	world
Frame105	unrel	To help everyone find her house, Lilly drew a gust for them.	gust
Frame106	pred	The partygoer disguised her face behind a mask before entering.	mask
Frame106	orth	The partygoer disguised her face behind a mass before entering.	mass
Frame106	sem	The partygoer disguised her face behind a robbery before entering.	robbery
Frame106	unrel	The partygoer disguised her face behind a seed before entering.	seed
Frame107	pred	When I called his house Nolan was not home, but his mother said she could relay a message to him.	message
Frame107	orth	When I called his house Nolan was not home, but his mother said she could relay a massage to him.	massage
Frame107	sem	When I called his house Nolan was not home, but his mother said she could relay a bottle to him.	bottle
Frame107	unrel	When I called his house Nolan was not home, but his mother said she could relay a nation to him.	nation
Frame108	pred	Joan fed her baby some warm milk and rocked her to sleep.	milk
Frame108	orth	Joan fed her baby some warm mild and rocked her to sleep.	mild
Frame108	sem	Joan fed her baby some warm calcium and rocked her to sleep.	calcium
Frame108	unrel	Joan fed her baby some warm plans and rocked her to sleep.	plans
Frame109	pred	The farmer said he had no use for a cow that didn't give any milk at all.	milk
Frame109	orth	The farmer said he had no use for a cow that didn't give any silk at all.	silk
Frame109	sem	The farmer said he had no use for a cow that didn't give any shakes at all.	shakes
Frame109	unrel	The farmer said he had no use for a cow that didn't give any pants at all.	pants
Frame110	pred	The drive only takes ten minutes with no traffic.	minutes
Frame110	orth	The drive only takes ten minuses with no traffic.	minuses
Frame110	sem	The drive only takes ten clocks with no traffic.	clocks
Frame110	unrel	The drive only takes ten shields with no traffic.	shields
Frame111	pred	Polly was annoyed at the wealthy stockbroker who she saw as a man in it just for the money and fame.	money
Frame111	orth	Polly was annoyed at the wealthy stockbroker who she saw as a man in it just for the honey and fame.	honey
Frame111	sem	Polly was annoyed at the wealthy stockbroker who she saw as a man in it just for the wallet and fame.	wallet
Frame111	unrel	Polly was annoyed at the wealthy stockbroker who she saw as a man in it just for the rust and fame.	rust
Frame112	pred	Marco will snap your head off when he is in a bad mood these days.	mood
Frame112	orth	Marco will snap your head off when he is in a bad hood these days.	hood
Frame112	sem	Marco will snap your head off when he is in a bad expression these days.	expression
Frame112	unrel	Marco will snap your head off when he is in a bad load these days.	load
Frame113	pred	The sailor swabbed the deck with a mop before dawn.	mop
Frame113	orth	The sailor swabbed the deck with a hop before dawn.	hop
Frame113	sem	The sailor swabbed the deck with a mess before dawn.	mess
Frame113	unrel	The sailor swabbed the deck with a pyramid before dawn.	pyramid
Frame114	pred	She promised to start first thing in the morning on Monday.	morning
Frame114	orth	She promised to start first thing in the moaning on Monday.	moaning
Frame114	sem	She promised to start first thing in the breakfast on Monday.	breakfast
Frame114	unrel	She promised to start first thing in the sunburn on Monday.	sunburn
Frame115	pred	Tim drove his jeep right through the swamp and his wheel got stuck in the mud and stalled.	mud
Frame115	orth	Tim drove his jeep right through the swamp and his wheel got stuck in the bud and stalled.	bud
Frame115	sem	Tim drove his jeep right through the swamp and his wheel got stuck in the pie and stalled.	pie
Frame115	unrel	Tim drove his jeep right through the swamp and his wheel got stuck in the sound and stalled.	sound
Frame117	pred	Many people have a bad habit of chewing their nails when nervous.	nails
Frame117	orth	Many people have a bad habit of chewing their sails when nervous.	sails
Frame117	sem	Many people have a bad habit of chewing their clippers when nervous.	clippers
Frame117	unrel	Many people have a bad habit of chewing their shortage when nervous.	shortage
Frame118	pred	I could not remember his name when asked.	name
Frame118	orth	I could not remember his lame when asked.	lame
Frame118	sem	I could not remember his maiden when asked.	maiden
Frame118	unrel	I could not remember his noon when asked.	noon
Frame119	pred	The teacher saw that some students were cheating and wrote down their names and numbers.	names
Frame119	orth	The teacher saw that some students were cheating and wrote down their games and numbers.	games
Frame119	sem	The teacher saw that some students were cheating and wrote down their directory and numbers.	directory
Frame119	unrel	The teacher saw that some students were cheating and wrote down their recitals and numbers.	recitals
Frame120	pred	Margaret thought with her new dress and fancy belt, the scarf would look marvelous around her neck with some pearls.	neck
Frame120	orth	Margaret thought with her new dress and fancy belt, the scarf would look marvelous around her deck with some pearls.	deck
Frame120	sem	Margaret thought with her new dress and fancy belt, the scarf would look marvelous around her pain with some pearls.	pain
